frame,step,time_fs,energy_eV,temperature_K,force_rms_eV_per_A,force_max_norm_eV_per_A
30,150,150.0,2.56585998574584,231.19260106543024,0.23340918123722076,0.9776187539100647
31,155,155.0,2.885119024743034,208.3304075648995,0.25030604004859924,1.0295798778533936
32,160,160.0,3.1788134102005303,187.29876590785733,0.2647651433944702,1.0335396528244019
33,165,165.0,3.4093202715108895,170.79174710242356,0.27510979771614075,0.9902951717376709
34,170,170.0,3.548661397683629,160.81271540921492,0.2801976501941681,0.9695176482200623
35,175,175.0,3.5830415143833507,158.34938614444155,0.2794429063796997,1.0918803215026855
36,180,180.0,3.515505974621692,163.18364648368075,0.2729593515396118,1.144869327545166
37,185,185.0,3.3655933536947096,173.91660726907668,0.2617966830730438,1.1249511241912842
38,190,190.0,3.165221056939176,188.26327586256184,0.24803544580936432,1.0430611371994019
39,195,195.0,2.9513531294574857,203.57730378441352,0.23443695902824402,0.9202536940574646
40,200,200.0,2.75787087598144,217.432686629539,0.22365477681159973,0.7884193062782288
41,205,205.0,2.609838488562457,228.03418312978664,0.2173186093568802,0.741520345211029
42,210,210.0,2.5216749558900524,234.34895570119556,0.2159069925546646,0.8021827936172485
43,215,215.0,2.4969230193923364,236.12320066065195,0.21920599043369293,0.8118960857391357
44,220,220.0,2.528620316832347,233.8553922501815,0.22636981308460236,0.7720898389816284
45,225,225.0,2.6007656387126366,228.6913676755514,0.23597826063632965,0.8203988671302795
46,230,230.0,2.6906453383892757,222.25758169675683,0.24622687697410583,0.9810599088668823
47,235,235.0,2.772548643012737,216.39469800938411,0.25503602623939514,1.1085928678512573
48,240,240.0,2.8234712733160396,212.74954906374293,0.26055091619491577,1.181779146194458
49,245,245.0,2.828827566870042,212.3662083378838,0.26170065999031067,1.1840384006500244
50,250,250.0,2.7863457003110206,215.40728999286821,0.2584906816482544,1.1096183061599731
51,255,255.0,2.706534254665626,221.12077696028695,0.2521093785762787,0.9683462977409363
52,260,260.0,2.608763203219822,228.12034599776482,0.24448810517787933,0.7825374007225037
53,265,265.0,2.515010880129937,234.83263810893808,0.23750904202461243,0.7592369914054871
54,270,270.0,2.444380135865405,239.88975339045868,0.2323620468378067,0.7435588240623474
55,275,275.0,2.4102996736745945,242.32970115668593,0.22936847805976868,0.7197715640068054
56,280,280.0,2.420440149302819,241.60279987241898,0.22841830551624298,0.7072458863258362
57,285,285.0,2.477611907093616,237.50762725504353,0.22949126362800598,0.799452006816864
58,290,290.0,2.5802229278399187,230.15834199875292,0.23277771472930908,0.8678264617919922
59,295,295.0,2.721539796059427,220.037801638702,0.23820379376411438,0.8874525427818298
60,300,300.0,2.8879780964982533,208.11893124943262,0.2448102831840515,0.860682487487793
61,305,305.0,3.0604424636025724,195.76847222555975,0.25117024779319763,0.9747844934463501
62,310,310.0,3.2194230568972904,184.38317928451295,0.2561827003955841,1.0317538976669312
63,315,315.0,3.349050456833507,175.0995293195786,0.2591917812824249,1.0241925716400146
