# Training_loss     Validation loss
97519.9428125     91153.74553571429
89943.5378125     84040.58928571429
82831.256875     77427.80022321429
76269.95296875     71299.09877232143
70220.91640625     65632.13950892857
64629.74265625     60420.79185267857
59534.7915625     55664.98716517857
54866.819375     51319.43359375
50523.4128125     47234.299107142855
46498.171875     43469.51283482143
42836.284375     40040.482142857145
39427.48296875     36865.36216517857
36337.516640625     33972.43080357143
33416.369296875     31254.24776785714
30773.726015625     28788.817801339286
28344.779609375     26515.770926339286
26079.77     24400.758928571428
24014.28046875     22457.14815848214
22119.987578125     20682.72823660714
20360.88640625     19047.705915178572
18769.910625     17558.354073660714
17276.984375     16159.787527901786
15904.0791015625     14872.575892857143
14626.156953125     13678.11021205357
13444.33734375     12579.556222098214
12387.8582421875     11589.03013392857
11401.2244921875     10667.42299107143
10488.7568359375     9811.758370535714
9647.7014453125     9024.9453125
8876.740703125     8303.230747767857
8172.26216796875     7643.571568080357
7517.1926171875     7028.717354910715
6909.7832421875     6461.207449776785
6354.3663671875     5940.947265625
5844.5640625     5465.964983258928
5368.73201171875     5020.591517857143
4938.38291015625     4617.333775111607
4540.184765625     4244.393031529018
4169.10796875     3898.966238839286
3828.596474609375     3580.82421875
3520.08833984375     3291.732666015625
3234.85546875     3024.309988839286
2967.545478515625     2775.116629464286
2726.4045703125     2547.679443359375
2498.7434765625     2336.5664411272323
2293.294326171875     2143.6124441964284
2102.2901171875     1965.572544642857
1925.550361328125     1799.6827218191963
1765.819521484375     1649.3402273995537
1616.4203857421876     1510.3039725167412
1481.709931640625     1384.1309116908483
1357.33634765625     1267.5519321986608
1241.4720532226563     1159.2293003627233
1135.0276879882813     1060.0552019391741
1037.0897802734376     967.7982526506696
947.8114624023438     884.0975864955357
864.4212524414063     806.5804094587054
789.2135913085938     735.9425920758929
719.805986328125     671.0877162388393
656.2286401367187     611.3803972516741
598.0198547363282     557.1430010114398
544.0628540039063     506.3960484095982
493.893876953125     460.0077601841518
449.1261474609375     417.9451991489955
407.58970947265624     378.96764700753346
368.7000891113281     342.7981916155134
334.2261633300781     310.29503958565846
302.0943896484375     280.3804822649275
272.4849011230469     252.92239379882812
245.81813354492186     227.97661481584822
221.463544921875     205.24087742396765
198.94837646484376     184.17789350237166
178.7631640625     165.2615748814174
159.98378784179687     147.81023624965124
143.03559173583983     132.03498077392578
127.56649780273438     117.662111554827
113.5554214477539     104.58239419119698
100.85072723388672     92.79689025878906
89.23215286254883     81.9823968069894
78.73471252441406     72.19543838500977
69.38483428955078     63.48971830095564
